Vehicle No,GeoCluster,Weekday,StopCount,Latitude,Longitude,Address,FirstVisit,LastVisit
30915,0,Monday,12,25.437855374999998,55.52597745,"Unnamed Road,Al Jerf Industrial 1,Ajman,United Arab Emirates",2025-06-02 13:57:30,2025-07-14 00:12:43
30915,0,Saturday,14,25.43823935714286,55.52708817142857,Oxy Office,2025-05-17 00:12:43,2025-07-19 08:57:55
30915,0,Sunday,12,25.437843700000002,55.526198416666666,Oxy Office,2025-05-18 00:12:43,2025-07-13 08:53:10
30915,0,Thursday,16,25.437667675,55.52563485625,"Jiddah Street,Ajman,United Arab Emirates",2025-05-15 00:12:43,2025-07-17 23:16:53
30915,0,Tuesday,16,25.4376672625,55.5256887,Oxy Office,2025-05-13 13:43:09,2025-07-15 09:07:42
30915,0,Wednesday,14,25.437602578571425,55.52549126428572,"Unnamed Road,Al Jerf Industrial 1,Ajman,United Arab Emirates",2025-05-14 00:12:43,2025-07-16 09:15:49
30915,1,Monday,6,25.401888016666664,55.47516246666667,"Unnamed Road,Al Jerf Industrial 1,Ajman,United Arab Emirates",2025-06-02 13:56:39,2025-07-14 10:55:22
30915,1,Saturday,7,25.391439242857142,55.47820495714286,Ajman - United Arab Emirates,2025-05-17 09:46:01,2025-07-12 08:54:47
30915,1,Thursday,5,25.41422728,55.51284095999999,Oxy Office,2025-05-15 11:17:27,2025-07-03 09:47:03
30915,1,Tuesday,5,25.428964639999997,55.52467796,Ajman - United Arab Emirates,2025-05-13 19:48:07,2025-07-01 08:53:47
30915,1,Wednesday,6,25.426157466666666,55.51765939999999,"Jiddah Street,Ajman,United Arab Emirates",2025-05-14 10:04:27,2025-07-02 09:08:02
30915,2,Tuesday,7,25.42179877142857,55.491276385714286,"Unnamed Road,Al Jerf Industrial 1,Ajman,United Arab Emirates",2025-06-03 20:07:05,2025-07-15 09:38:00
30915,2,Wednesday,5,25.40737832,55.524400279999995,"Jiddah Street,Al Jerf Industrial 2,Ajman,United Arab Emirates",2025-05-14 10:09:50,2025-07-09 09:11:51
30915,3,Wednesday,11,25.401255872727276,55.500733290909096,Al Jerf Industrial 1 - Ajman - United Arab Emirates,2025-05-14 10:38:29,2025-07-16 10:19:41
30915,4,Saturday,8,25.387045375,55.47207185,Industrial Area 3 - Sharjah - United Arab Emirates,2025-05-17 09:42:26,2025-07-12 09:48:45
30915,4,Thursday,6,25.4058533,55.48723995,"187,Munah Street,Ajman,United Arab Emirates",2025-05-15 10:18:39,2025-07-17 14:14:28
30915,5,Thursday,5,25.40194564,55.49134862,Al Muwaihat 3 - Ajman - United Arab Emirates,2025-06-19 11:47:03,2025-07-17 09:49:15
30915,6,Sunday,5,25.4071813,55.460864619999995,Al Butain - Ajman - United Arab Emirates,2025-06-15 10:06:43,2025-07-13 18:14:03
30915,7,Thursday,5,25.38356594,55.473337619999995,Ajman Industrial 2 - Ajman - United Arab Emirates,2025-06-19 12:08:59,2025-07-17 15:34:35
30915,10,Saturday,5,25.388361940000003,55.478094299999995,Industrial Area - Sharjah - United Arab Emirates,2025-05-17 10:59:11,2025-07-19 09:55:04
30915,10,Wednesday,5,25.4044113,55.48610762,Ajman - United Arab Emirates,2025-06-18 17:02:29,2025-07-09 19:08:27
30917,0,Friday,6,25.438116616666665,55.52677356666666,Oxy Office,2025-06-06 00:02:21,2025-07-18 00:12:43
30917,0,Monday,18,25.43777672222222,55.5257582,Oxy Office,2025-05-19 00:12:43,2025-07-14 08:25:26
30917,0,Saturday,17,25.43825955882353,55.52676641764706,Oxy Office,2025-05-17 00:12:43,2025-07-19 09:11:02
30917,0,Sunday,18,25.4377782,55.52576838333333,Oxy Office,2025-05-18 00:12:43,2025-07-13 08:49:53
30917,0,Thursday,20,25.438248535,55.526730545,Oxy Office,2025-05-15 00:12:43,2025-07-17 09:18:54
30917,0,Tuesday,18,25.435928472222223,55.52138228333334,Oxy Office,2025-05-13 12:56:37,2025-07-15 00:12:43
30917,0,Wednesday,19,25.438259689473686,55.52677259473685,Oxy Office,2025-05-14 00:12:43,2025-07-16 00:12:43
30917,1,Monday,9,25.401372722222224,55.498043111111116,Ajman - United Arab Emirates,2025-05-19 08:41:54,2025-07-14 09:03:24
30917,1,Saturday,8,25.420166187499998,55.5083689,"Jiddah Street,Al Jerf Industrial 1,Ajman,United Arab Emirates",2025-05-17 08:45:00,2025-07-19 09:15:42
30917,1,Sunday,11,25.407070263636363,55.49592056363636,"Jiddah Street,Al Jerf Industrial 1,Ajman,United Arab Emirates",2025-05-18 08:44:43,2025-07-13 09:34:37
30917,1,Thursday,9,25.421668666666665,55.5158655,"Jiddah Street,Al Jerf Industrial 2,Ajman,United Arab Emirates",2025-05-15 08:26:34,2025-07-17 22:30:54
30917,1,Tuesday,9,25.414434011111112,55.52449348888889,Al Jerf Industrial 1 - Ajman - United Arab Emirates,2025-05-20 08:58:56,2025-07-15 09:10:06
30917,1,Wednesday,10,25.43375029,55.524642310000004,Al Jerf Industrial 1 - Ajman - United Arab Emirates,2025-05-14 09:00:08,2025-07-16 09:15:33
30917,2,Monday,10,25.39817161,55.50544562,Al Jerf Industrial 1 - Ajman - United Arab Emirates,2025-05-19 08:53:55,2025-07-14 09:12:35
30917,2,Saturday,6,25.423698033333334,55.5122708,"Jiddah Street,Sharjah,United Arab Emirates",2025-05-17 09:10:36,2025-07-19 09:29:39
30917,2,Sunday,10,25.39166745,55.4843028,"Jiddah Street,Sharjah,United Arab Emirates",2025-05-18 09:24:22,2025-07-13 11:57:08
30917,2,Thursday,9,25.40558346666667,55.4985781,Al Jerf Industrial 1 - Ajman - United Arab Emirates,2025-05-15 08:36:57,2025-07-17 19:42:23
30917,2,Tuesday,6,25.401353283333332,55.49125661666667,Al Jerf Industrial 1 - Ajman - United Arab Emirates,2025-05-13 14:04:54,2025-07-15 10:35:40
30917,2,Wednesday,8,25.4215699625,55.510695175,"Jiddah Street,Sharjah,United Arab Emirates",2025-05-14 09:11:23,2025-07-16 09:55:54
30917,3,Monday,7,25.371024957142858,55.49146255714286,Al Jerf Industrial 1 - Ajman - United Arab Emirates,2025-06-02 09:22:24,2025-07-14 09:22:22
30917,3,Saturday,6,25.39005523333333,55.49081356666667,Al Jerf Industrial 3 - Ajman - United Arab Emirates,2025-05-24 09:15:56,2025-07-19 16:54:04
30917,3,Thursday,8,25.4302437,55.5194824375,"Jiddah Street,Sharjah,United Arab Emirates",2025-06-05 09:41:04,2025-07-17 22:30:54
30917,3,Tuesday,7,25.386751385714287,55.48199877142857,Ajman - United Arab Emirates,2025-05-13 13:02:31,2025-07-15 11:15:29
30917,3,Wednesday,9,25.40027791111111,55.50757107777778,Ajman - United Arab Emirates,2025-05-14 09:48:02,2025-06-25 15:54:19
30917,4,Monday,8,25.3805737125,55.4986647375,AL IMAM AL SHAFEE St - Ajman - United Arab Emirates,2025-05-26 10:19:29,2025-07-14 09:59:59
30917,4,Saturday,9,25.3726881,55.47121997777778,Al Jerf Industrial 1 - Ajman - United Arab Emirates,2025-05-17 09:23:57,2025-07-19 18:19:53
30917,4,Sunday,9,25.347364933333335,55.465821633333334,Al Jerf Industrial 1 - Ajman - United Arab Emirates,2025-05-25 11:33:40,2025-07-13 13:38:23
30917,4,Tuesday,7,25.407689714285713,55.49622805714286,Al Rashidiya 3 - Ajman - United Arab Emirates,2025-05-13 13:21:10,2025-07-15 11:25:42
30917,4,Wednesday,7,25.380341157142855,55.49320472857143,"Jiddah Street,Sharjah,United Arab Emirates",2025-05-21 09:17:59,2025-07-16 10:24:59
30917,5,Monday,5,25.38711792,55.49430027999999,"Shaikh Rashid Bin Abdul Aziz Aaemi Street,Al Jerf 2,Ajman,United Arab Emirates",2025-05-19 10:13:54,2025-07-14 10:36:42
30917,5,Saturday,6,25.328250516666667,55.4552883,Al Jerf Industrial 1 - Ajman - United Arab Emirates,2025-05-24 16:16:47,2025-07-19 10:14:17
30917,5,Sunday,8,25.361961625,55.4715434875,Ajman - United Arab Emirates,2025-05-18 12:17:11,2025-07-13 14:57:49
30917,5,Thursday,5,25.389131279999997,55.49904262,"Shaikh Rashid Bin Abdul Aziz Aaemi Street,Al Jerf 2,Ajman,United Arab Emirates",2025-05-29 10:05:03,2025-06-26 10:40:25
30917,5,Tuesday,7,25.370603285714285,55.47571901428571,"Unnamed Road,Al Jerf Industrial 1,Ajman,United Arab Emirates",2025-05-13 16:06:59,2025-07-15 11:49:40
30917,5,Wednesday,8,25.374709312500002,55.4832737125,Al Jerf Industrial 1 - Ajman - United Arab Emirates,2025-05-28 09:44:15,2025-07-16 10:43:01
30917,6,Monday,9,25.3571744,55.476424755555556,"AL IMAM AL SHAFEE Street,Al Hamidiya 1,Ajman,United Arab Emirates",2025-05-19 10:12:15,2025-07-14 10:42:09
30917,6,Saturday,9,25.37163051111111,55.48328717777778,Al Hamidiya 1 - Ajman - United Arab Emirates,2025-05-17 09:42:01,2025-07-12 11:43:17
30917,6,Sunday,8,25.346182675,55.4569782875,Al Jerf 2 - Ajman - United Arab Emirates,2025-05-18 09:37:13,2025-07-13 15:09:07
30917,6,Thursday,6,25.348645233333333,55.476051616666666,Ajman - United Arab Emirates,2025-05-29 10:16:20,2025-07-17 10:03:30
30917,6,Tuesday,5,25.36229062,55.482085319999996,Ajman - United Arab Emirates,2025-05-27 10:32:59,2025-07-15 12:21:59
30917,6,Wednesday,6,25.384248033333336,55.49389273333333,Ajman - United Arab Emirates,2025-05-14 10:38:30,2025-07-02 10:34:37
30917,7,Saturday,7,25.34312234285714,55.480211371428574,Al Hamidiya 1 - Ajman - United Arab Emirates,2025-05-17 09:50:38,2025-07-05 10:01:21
30917,7,Sunday,7,25.34947352857143,55.463206171428574,"Shaikh Rashid Bin Abdul Aziz Aaemi Street,Al Jerf 2,Ajman,United Arab Emirates",2025-05-18 09:46:24,2025-07-13 15:35:14
30917,7,Thursday,5,25.35972294,55.482927960000005,Al Rawda 2 - Ajman - United Arab Emirates,2025-05-22 09:34:36,2025-06-26 11:43:02
30917,7,Tuesday,8,25.3601936875,55.46946515,Al Bustan - Ajman - United Arab Emirates,2025-05-13 13:33:53,2025-07-15 12:29:57
30917,7,Wednesday,7,25.35229922857143,55.47977947142857,Al Hamidiya 1 - Ajman - United Arab Emirates,2025-05-28 10:06:22,2025-07-16 11:13:57
30917,8,Monday,5,25.36550396,55.48137396,"Unnamed Road,Al Rawda 2,Ajman,United Arab Emirates",2025-05-26 11:10:19,2025-07-14 12:00:49
30917,8,Sunday,5,25.30224928,55.45970296,"Unnamed Road,Muwailih Commercial,Industrial Area,Sharjah,United Arab Emirates",2025-05-18 16:12:08,2025-07-13 15:54:52
30917,8,Thursday,5,25.34943892,55.46385096,"Sheikh Maktoum Bin Rashid Street,Al Rawda 1,Ajman,United Arab Emirates",2025-05-29 11:21:54,2025-07-17 10:27:45
30917,8,Tuesday,8,25.3498018,55.4588653875,Al Bustan - Ajman - United Arab Emirates,2025-05-13 13:44:43,2025-07-15 12:39:20
30917,9,Monday,7,25.340000442857143,55.456479957142854,Ajman - United Arab Emirates,2025-05-19 10:44:12,2025-07-14 12:15:29
30917,9,Sunday,10,25.35625412,55.477373639999996,Ajman - United Arab Emirates,2025-05-18 09:58:29,2025-07-13 18:11:33
30917,9,Tuesday,5,25.37138294,55.50858196,Al Rawda 2 - Ajman - United Arab Emirates,2025-05-20 10:51:27,2025-06-17 10:14:37
30917,9,Wednesday,7,25.340939257142857,55.47172877142857,Ajman - United Arab Emirates,2025-05-14 10:59:05,2025-07-16 12:36:32
30917,10,Sunday,7,25.362933057142858,55.481219942857145,Ajman - United Arab Emirates,2025-05-18 10:03:27,2025-07-13 20:36:37
